TenantId,TimeGenerated [Local Time],SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,PartitionKey,RowKey,StorageAccount,AzureDeploymentID,AzureTableName,AccessList,AccessMask,AccessReason,AccountDomain,AccountExpires,AccountName,AccountSessionIdentifier,AdditionalInfo,AdditionalInfo2,AllowedToDelegateTo,Attributes,AuditPolicyChanges,AuditsDiscarded,AuthenticationLevel,AuthenticationPackageName,AuthenticationProvider,AuthenticationServer,AuthenticationService,AuthenticationType,CACertificateHash,CalledStationID,CallerProcessId,CallerProcessName,CallingStationID,CAPublicKeyHash,CategoryId,CertificateDatabaseHash,ClassId,ClassName,ClientAddress,ClientIPAddress,ClientName,CommandLine,CompatibleIds,DCDNSName,DeviceDescription,DeviceId,DisplayName,Disposition,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,EAPType,ElevatedToken,ErrorCode,ExtendedQuarantineState,FailureReason,FileHash,FilePath,FilePathNoUser,Filter,ForceLogoff,Fqbn,FullyQualifiedSubjectMachineName,FullyQualifiedSubjectUserName,GroupMembership,HandleId,HardwareIds,HomeDirectory,HomePath,ImpersonationLevel,InterfaceUuid,IpAddress,IpPort,KeyLength,LmPackageName,LocationInformation,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LoggingResult,LogonGuid,LogonHours,LogonID,LogonProcessName,LogonType,LogonTypeName,MachineAccountQuota,MachineInventory,MachineLogon,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NASIdentifier,NASIPv4Address,NASIPv6Address,NASPort,NASPortType,NetworkPolicyName,NewDate,NewMaxUsers,NewProcessId,NewProcessName,NewRemark,NewShareFlags,NewTime,NewUacValue,NewValue,NewValueType,ObjectName,ObjectServer,ObjectType,ObjectValueName,OemInformation,OldMaxUsers,OldRemark,OldShareFlags,OldUacValue,OldValue,OldValueType,OperationType,PackageName,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousDate,PreviousTime,PrimaryGroupId,PrivateKeyUsageCount,PrivilegeList,Process,ProcessId,ProcessName,Properties,ProfilePath,ProtocolSequence,ProxyPolicyName,QuarantineHelpURL,QuarantineSessionID,QuarantineSessionIdentifier,QuarantineState,QuarantineSystemHealthResult,RelativeTargetName,RemoteIpAddress,RemotePort,Requester,RequestId,RestrictedAdminMode,RowsDeleted,SamAccountName,ScriptPath,SecurityDescriptor,ServiceAccount,ServiceFileName,ServiceName,ServiceStartType,ServiceType,SessionName,ShareLocalPath,ShareName,SidHistory,Status,SubjectAccount,SubcategoryGuid,SubcategoryId,Subject,SubjectDomainName,SubjectKeyIdentifier,SubjectLogonId,SubjectMachineName,SubjectMachineSID,SubjectUserName,SubjectUserSid,SubStatus,TableId,TargetAccount,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetOutboundDomainName,TargetOutboundUserName,TargetServerName,TargetSid,TargetUser,TargetUserName,TargetUserSid,TemplateContent,TemplateDSObjectFQDN,TemplateInternalName,TemplateOID,TemplateSchemaVersion,TemplateVersion,TokenElevationType,TransmittedServices,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VendorIds,Workstation,WorkstationName,EventLevelName,SourceComputerId,EventOriginId,MG,TimeCollected [Local Time],ManagementGroupName,SystemUserId,Version,Opcode,Keywords,Correlation,SystemProcessId,SystemThreadId,EventRecordId,Type,_ResourceId
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 8:34:16.592 AM",OpsManager,\,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2304,,,,,,,,,,,,,,,,35.195.138.45,39606,0,-,,,,,,,,,,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x80090308,-\-,,,,-,,0x0,,,-,S-1-0-0,0x0,,\,,,,,,,,,,,,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 8:34:42.128 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2004,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:44.082 AM",OpsManager,corpnet-west\administrator,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\administrator,corpnet-west,,,,,,,,,,administrator,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,2136,2029,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:44.404 AM",OpsManager,corpnet-west\demouser,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\demouser,corpnet-west,,,,,,,,,,demouser,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,2136,2030,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:44.707 AM",OpsManager,corpnet-west\admin,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\admin,corpnet-west,,,,,,,,,,admin,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,2136,2031,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:44.725 AM",OpsManager,corpnet-west\administrator,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\administrator,corpnet-west,,,,,,,,,,administrator,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2032,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:45.110 AM",OpsManager,corpnet-west\scan,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\scan,corpnet-west,,,,,,,,,,scan,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2033,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:45.295 AM",OpsManager,corpnet-west\admin1,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\admin1,corpnet-west,,,,,,,,,,admin1,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2034,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:45.447 AM",OpsManager,corpnet-west\sql3,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,92.63.197.9,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\sql3,corpnet-west,,,,,,,,,,sql3,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2035,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:45.863 AM",OpsManager,corpnet-west\transart,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,185.156.73.74,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\transart,corpnet-west,,,,,,,,,,transart,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2036,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,"4/5/2026, 9:25:45.872 AM",OpsManager,corpnet-west\veltec,User,corpnet-west,Microsoft-Windows-Security-Auditing,Security,12544,0,,4625,4625 - An account failed to log on.,,,,,,,,,,,,,,,,,,,,NTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%2313,,,,,,,,,,,,,,,,185.156.73.74,0,0,-,,,,,,,,,NtLmSsp ,3,3 - Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc000006d,-\-,,,,-,,0x0,,,-,S-1-0-0,0xc0000064,,corpnet-west\veltec,corpnet-west,,,,,,,,,,veltec,S-1-0-0,,,,,,,,-,,,,,,,,-,LogAlways,d656379c-ceed-4497-bc39-377087763b3a,d656379c-ceed-4497-bc39-377087763b3b,00000000-0000-0000-0000-000000000001,"4/5/2026, 9:26:22.250 AM",AOI-a2e8d5e3-f590-4ff5-96b1-90c22878fc7a,N/A,0,0,0x8010000000000000,{d656379c-ceed-0001-7fa7-3164c2c4dc01},760,7052,2037,SecurityEvent,/subscriptions/0bdef907-2076-4115-aa14-2135db872345/resourcegroups/rg-soc-lab/providers/microsoft.compute/virtualmachines/corpnet-west
